firm_id,canonical_name,display_name,aliases
7542,7111495 canada inc dba arizer tech of waterloo ontario,"7111495 Canada Inc., dba Arizer Tech, of Waterloo, Ontario","7111495 Canada Inc., dba Arizer Tech, of Waterloo, Ontario"
7534,abga advanced trading co ltd of walnut california,"ABGA Advanced Trading Co., Ltd., of Walnut, California","ABGA Advanced Trading Co., Ltd., of Walnut, California"
7796,airstream,"Airstream, Inc.","AIRSTREAM, INC.|Airstream, Inc."
13,ajinomoto foods north america,Ajinomoto Foods North America,Ajinomoto Foods North America|Ajinomoto Foods North America Inc.
7604,altec industries,"Altec Industries, Inc.","ALTEC INDUSTRIES INC.|Altec Industries Inc.|Altec Industries, Inc."
20059,alweld commercial boats,ALWELD COMMERCIAL BOATS INC,ALWELD COMMERCIAL BOATS INC
9269,american seating,AMERICAN SEATING COMPANY,AMERICAN SEATING COMPANY
16347,amgen,"Amgen, Inc.","Amgen, Inc."
16613,amneal pharmaceuticals,Amneal Pharmaceuticals LLC,"Amneal Pharmaceuticals|Amneal Pharmaceuticals LLC|Amneal Pharmaceuticals, Inc.|Amneal Pharmaceuticals, LLC"
17052,ani pharmaceuticals,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc."
17485,annora pharma private,Annora Pharma Private Limited,Annora Pharma Private Limited
20055,aviara boats,"AVIARA BOATS, LLC","AVIARA BOATS, LLC"
20043,axis wake research,AXIS WAKE RESEARCH,AXIS WAKE RESEARCH
7544,bada boom fireworks of blakeslee pennsylvania,"Bada Boom Fireworks, of Blakeslee, Pennsylvania","Bada Boom Fireworks, of Blakeslee, Pennsylvania"
20847,bertram yachts,BERTRAM YACHTS LLC,BERTRAM YACHTS LLC
6115,best buy purchasing llc of richfield minnesota,"Best Buy Purchasing LLC, of Richfield, Minnesota","Best Buy Purchasing LLC, of Richfield, Minnesota"
7595,bmw of north america,"BMW of North America, LLC","BMW OF NORTH AMERICA, LLC|BMW of North America, LLC"
7701,braun,BRAUN CORPORATION,BRAUN CORPORATION|Braun Corporation
21,brazilian taste,Brazilian Taste,Brazilian Taste
16533,breckenridge pharmaceutical,"Breckenridge Pharmaceutical, Inc","Breckenridge Pharmaceutical, Inc|Breckenridge Pharmaceutical, Inc."
20041,brunswick family boat,BRUNSWICK FAMILY BOAT CO INC,BRUNSWICK FAMILY BOAT CO INC
20091,carolina skiff,CAROLINA SKIFF LLC,CAROLINA SKIFF|CAROLINA SKIFF LLC
16407,central admixture pharmacy services,"Central Admixture Pharmacy Services, Inc.","Central Admixture Pharmacy Services Inc|Central Admixture Pharmacy Services, Inc."
7590,changsha jiali duo technology co ltd dba topyond of china,"Changsha Jiali Duo Technology Co., Ltd., dba Topyond, of China","Changsha Jiali Duo Technology Co., Ltd., dba Topyond, of China"
7586,changzhou niujie battery technology co ltd dba jsnj tech of china,"Changzhou Niujie Battery Technology Co., Ltd., dba JSNJ_Tech, of China","Changzhou Niujie Battery Technology Co., Ltd., dba JSNJ_Tech, of China"
20174,chris craft boats,CHRIS CRAFT BOATS,CHRIS CRAFT BOATS
7598,chrysler fca us,"Chrysler (FCA US, LLC)","Chrysler (FCA US LLC)|Chrysler (FCA US, LLC)"
7582,conair llc of stamford connecticut,"Conair LLC, of Stamford, Connecticut","Conair LLC, of Stamford, Connecticut"
