product_id,recall_id,source_agency,external_id,name,brand,model_number,upc,lot_codes,category,model_year
9426,10172,CPSC,26606,Insignia Front Control Gas Ranges,,,,,consumer_product,
9427,10173,CPSC,26607,BBRKIN and MouTec Biometric Firearm Safes,,,,,consumer_product,
9428,10174,CPSC,26605,Cuisinart Propel+ Four Burner 3-in-1 Gas Grill with pizza oven,,,,,consumer_product,
9429,10175,CPSC,26610,Flaunt MagSafe Battery Chargers,,,,,consumer_product,
9430,10176,CPSC,26611,"Kobalt 24V and 48V Trimmers, Blowers, Mowers, Chainsaws and Pruning Saws with USB-C Batteries",,,,,consumer_product,
9431,10177,CPSC,26608,Moodooy Adult Portable Bed Rails,,,,,consumer_product,
9432,10178,CPSC,26609,WonderStone Infant Walkers,,,,,consumer_product,
120480,24935,NHTSA,26V434000,BRAUN CHEVROLET TRAVERSE 2026,BRAUN,CHEVROLET TRAVERSE,,000261430005675886000000153,vehicle,2026
122840,25274,NHTSA,26E043000,KENWAY 12V SUBMERSIBLE LIGHTS 9999,KENWAY,12V SUBMERSIBLE LIGHTS,,000261439004593731000001803,vehicle,
122841,25274,NHTSA,26E043000,KENWAY 12V LED TOWING LIGHT KIT 9999,KENWAY,12V LED TOWING LIGHT KIT,,000261439004584732000001803,vehicle,
121353,25059,NHTSA,26V433000,TOYOTA TUNDRA 2026,TOYOTA,TUNDRA,,000261429005669628000000349,vehicle,2026
121950,25145,NHTSA,26E042000,AMERICAN SEATING Q'STRAINT MAX 9999,AMERICAN SEATING,Q'STRAINT MAX,,000261428000786891000002110,vehicle,
1,1,FSIS,PHA-07032026-01,"2.5-oz. plastic bag packages of “STREET’S BEEF Jerky TERIYAKI FLAVOR” with lot codes 0701271, 0520271, 04014271, 0415271, 0211271, 1015261, 1016261, 1029261, 0909261, 0806261, and 0820261 shown on a sticker on the packaging.",,,,PHA-07032026-01-labels,food,
9433,10179,CPSC,26596,AMASKY Nursing Pillows,,,,,consumer_product,
9434,10180,CPSC,26601,Metal Wire Bristle Grill Brushes,,,,,consumer_product,
9435,10181,CPSC,26599,Metalux Optimized High Bay (OHB) LED Light Fixtures,,,,,consumer_product,
9436,10182,CPSC,26593,CVS Health Medicated Hemorrhoidal Wipes,,,,,consumer_product,
9437,10183,CPSC,26600,Junpower CR2032 Batteries,,,,,consumer_product,
9438,10184,CPSC,26594,POPOOO Jungle Safari LED Finger Lights,,,,,consumer_product,
9439,10185,CPSC,26595,Rowenta Cordless Vacuum Cleaners with lithium-ion battery,,,,,consumer_product,
9440,10186,CPSC,26598,Gigglescape™ Under the Sea Popping Toy,,,,,consumer_product,
9441,10187,CPSC,26592,Topyond Pool Drain Port with Cover,,,,,consumer_product,
9442,10188,CPSC,26591,VEVOR baby loungers,,,,,consumer_product,
9443,10189,CPSC,26603,Roman Candles 8 Shot 3-Pack Firework Devices,,,,,consumer_product,
9444,10190,CPSC,26602,Unity 7 Shot 200 Gram Aerial Cake Firework Devices,,,,,consumer_product,
120473,24932,NHTSA,26V426000,JAYCO FIFTH WHEEL SEISMIC 2026,JAYCO FIFTH WHEEL,SEISMIC,,000261420005673146000001888,vehicle,2026
120474,24933,NHTSA,26V431000,KIA EV6 2022,KIA,EV6,,000261425005206753000001305,vehicle,2022
120475,24933,NHTSA,26V431000,KIA EV6 2023,KIA,EV6,,000261425005550917000001305,vehicle,2023
120476,24933,NHTSA,26V431000,KIA EV6 2024,KIA,EV6,,000261425005605549000001305,vehicle,2024
120477,24933,NHTSA,26V431000,KIA EV9 2024,KIA,EV9,,000261425005602479000001305,vehicle,2024
120478,24934,NHTSA,26V432000,HYUNDAI IONIQ 5 2023,HYUNDAI,IONIQ 5,,000261427005553984000001305,vehicle,2023
120479,24934,NHTSA,26V432000,HYUNDAI IONIQ 5 2024,HYUNDAI,IONIQ 5,,000261427005608524000001305,vehicle,2024
121358,25061,NHTSA,26V427000,HEARTLAND CYCLONE TT 2026,HEARTLAND,CYCLONE TT,,000261421005675691000001888,vehicle,2026
121359,25061,NHTSA,26V427000,HEARTLAND CYCLONE FW 2026,HEARTLAND,CYCLONE FW,,000261421005675711000001888,vehicle,2026
121935,25143,NHTSA,26V429000,ALTEC SERVICE BODY 2022,ALTEC,SERVICE BODY,,000261423005578177000000207,vehicle,2022
121936,25143,NHTSA,26V429000,ALTEC SERVICE BODY 2022,ALTEC,SERVICE BODY,,000261423005578177000001786,vehicle,2022
121937,25143,NHTSA,26V429000,ALTEC SERVICE BODY 2023,ALTEC,SERVICE BODY,,000261423005578178000000207,vehicle,2023
